date,cases,deaths
1/22/2020,0,0
1/23/2020,0,0
1/24/2020,0,0
1/25/2020,0,0
1/26/2020,0,0
1/27/2020,0,0
1/28/2020,0,0
1/29/2020,0,0
1/30/2020,0,0
1/31/2020,0,0
2/1/2020,0,0
2/2/2020,0,0
2/3/2020,0,0
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
2/13/2020,0,0
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,0,0
2/22/2020,0,0
2/23/2020,0,0
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,0,0
2/28/2020,0,0
2/29/2020,0,0
3/1/2020,0,0
3/2/2020,0,0
3/3/2020,0,0
3/4/2020,0,0
3/5/2020,0,0
3/6/2020,0,0
3/7/2020,0,0
3/8/2020,0,0
3/9/2020,0,0
3/10/2020,0,0
3/11/2020,0,0
3/12/2020,0,0
3/13/2020,5,0
3/14/2020,11,0
3/15/2020,22,0
3/16/2020,29,0
3/17/2020,39,0
3/18/2020,51,0
3/19/2020,78,0
3/20/2020,106,0
3/21/2020,131,0
3/22/2020,167,0
3/23/2020,196,0
3/24/2020,242,0
3/25/2020,386,1
3/26/2020,531,1
3/27/2020,639,2
3/28/2020,717,3
3/29/2020,825,4
3/30/2020,941,6
3/31/2020,997,13
4/1/2020,1106,16
4/2/2020,1270,17
4/3/2020,1534,21
4/4/2020,1632,26
4/5/2020,1840,31
4/6/2020,2003,32
4/7/2020,2197,39
4/8/2020,2497,48
4/9/2020,2838,48
4/10/2020,3007,58
4/11/2020,3262,60
4/12/2020,3581,61
4/13/2020,3801,61
4/14/2020,3951,73
4/15/2020,4237,75
4/16/2020,4400,82
4/17/2020,4515,96
4/18/2020,4719,110
4/19/2020,4897,112
4/20/2020,5074,112
4/21/2020,5317,141
4/22/2020,5598,174
4/23/2020,5825,194
4/24/2020,6026,208
4/25/2020,6213,212
4/26/2020,6417,218
4/27/2020,6537,227
4/28/2020,6744,240
4/29/2020,6916,261
4/30/2020,7063,269
5/1/2020,7294,287
5/2/2020,7611,287
5/3/2020,7885,289
5/4/2020,8110,297
5/5/2020,8436,314
5/6/2020,8691,341
5/7/2020,9046,368
5/8/2020,9384,381
5/9/2020,9668,388
5/10/2020,9889,391
5/11/2020,10164,401
5/12/2020,10468,438
5/13/2020,10699,448
5/14/2020,11094,470
5/15/2020,11387,482
5/16/2020,11671,482
5/17/2020,11768,485
5/18/2020,12078,486
5/19/2020,12374,500
5/20/2020,13049,522
5/21/2020,13410,529
5/22/2020,13670,541
5/23/2020,14152,551
5/24/2020,14507,558
5/25/2020,15194,566
5/26/2020,15648,580
5/27/2020,16029,583
5/28/2020,16553,605
5/29/2020,17031,610
5/30/2020,17358,618
5/31/2020,17849,629
6/1/2020,18246,643
6/2/2020,18427,650
6/3/2020,18553,650
6/4/2020,18766,651
6/5/2020,19073,670
6/6/2020,19709,684
6/7/2020,20166,687
6/8/2020,20590,712
6/9/2020,21071,723
6/10/2020,21626,739
6/11/2020,22474,750
6/12/2020,23333,764
6/13/2020,24220,768
6/14/2020,25235,768
6/15/2020,26272,774
6/16/2020,26912,785
6/17/2020,27312,790
6/18/2020,28206,809
6/19/2020,29002,821
6/20/2020,29549,838
6/21/2020,30021,839
6/22/2020,30453,840
